player_id,player_name,date,season,source,games_played,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val,team,competition,game_date,opponent,result
20200277,Augusto Lima,2026-03-11,362,acb,6.0,9.3,2.38,0.1,0.13,9.6,8.65,0.87,1.0,,,,,,,,,,,,,,San Pablo Burgos,ACB,,,
P003840,Axel Bouteille,2026-03-13,U2025,eurocup,,13.55,8.0,1.0,2.0,50.0,1.0,4.0,25.0,3.0,3.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,-8.0,6.0,Budućnost VOLI,EuroCup,2026-03-11,U-BT Cluj-Napoca,D 82-100
20209919,Darío Brizuela,2026-03-11,345,acb,9.0,6.0,3.89,0.01,0.08,8.0,9.2,0.18,2.0,,,,,,,,,,,,,,FC Barcelona,ACB,,,
P010581,Dylan Osetkowski,2026-03-13,E2025,euroleague,,25.68,13.0,2.0,2.0,100.0,3.0,7.0,42.9,0.0,0.0,,1.0,3.0,4.0,0.0,1.0,1.0,0.0,3.0,14.0,11.0,Partizan Mozzart Bet,EuroLeague,2026-03-11,Virtus Bologna,V 88-82
20210659,Giorgi Shermadini,2026-03-11,372,acb,13.0,5.1,0.0,0.04,0.05,18.2,6.45,0.43,1.0,,,,,,,,,,,,,,Lenovo Tenerife,ACB,,,
30001981,Kameron Taylor,2026-03-11,128,acb,10.0,5.5,3.77,0.03,0.13,12.6,7.66,0.4,2.6,,,,,,,,,,,,,,Valencia Basket,ACB,,,
5313012,Mario Saint-Supéry,2026-03-11,2025-26,ncaa_espn,33.0,22.4,8.6,1.3,3.2,40.6,1.4,3.2,43.4,1.8,2.1,87.1,,,2.8,3.6,1.4,1.5,0.1,1.8,,,,NCAA,,,
P000848,P000848,2026-03-11,E2024,euroleague,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,EuroLeague,,,
P003840,P003840,2026-03-11,U2024,eurocup,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,EuroCup,,,
P003842,P003842,2026-03-11,E2024,euroleague,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,EuroLeague,,,
P005596,P005596,2026-03-11,E2024,euroleague,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,EuroLeague,,,
P009992,P009992,2026-03-11,E2024,euroleague,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,EuroLeague,,,
P010581,P010581,2026-03-11,E2024,euroleague,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,EuroLeague,,,
P011217,P011217,2026-03-11,E2024,euroleague,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,EuroLeague,,,
P011305,P011305,2026-03-11,E2024,euroleague,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,EuroLeague,,,
20210707,Rubén Guerrero,2026-03-11,211,acb,3.0,20.3,0.0,0.13,0.07,4.6,21.5,1.1,0.4,,,,,,,,,,,,,,MoraBanc Andorra,ACB,,,
20213230,Yankuba Sima,2026-03-11,197,acb,5.0,11.0,1.12,0.06,0.08,5.4,10.68,0.6,0.7,,,,,,,,,,,,,,Valencia Basket,ACB,,,
