player_id,player_name,team,source,competition,season,date,games_played,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val,min
P003842,P003842,,euroleague,EuroLeague,E2024,2026-03-12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P000848,P000848,,euroleague,EuroLeague,E2024,2026-03-12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P010581,P010581,,euroleague,EuroLeague,E2024,2026-03-12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P009992,P009992,,euroleague,EuroLeague,E2024,2026-03-12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20209919,Darío Brizuela,FC Barcelona,acb,ACB,345,2026-03-12,9.0,3.89,0.01,0.08,8.0,9.2,0.18,2.0,,,,,,,,,,,,,,6.0
P011305,P011305,,euroleague,EuroLeague,E2024,2026-03-12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P005596,P005596,,euroleague,EuroLeague,E2024,2026-03-12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20213230,Yankuba Sima,Valencia Basket,acb,ACB,197,2026-03-12,5.0,1.12,0.06,0.08,5.4,10.68,0.6,0.7,,,,,,,,,,,,,,11.0
P011217,P011217,,euroleague,EuroLeague,E2024,2026-03-12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30001981,Kameron Taylor,Valencia Basket,acb,ACB,128,2026-03-12,10.0,3.77,0.03,0.13,12.6,7.66,0.4,2.6,,,,,,,,,,,,,,5.5
20210659,Giorgi Shermadini,Lenovo Tenerife,acb,ACB,372,2026-03-12,13.0,0.0,0.04,0.05,18.2,6.45,0.43,1.0,,,,,,,,,,,,,,5.1
20210707,Rubén Guerrero,MoraBanc Andorra,acb,ACB,211,2026-03-12,3.0,0.0,0.13,0.07,4.6,21.5,1.1,0.4,,,,,,,,,,,,,,20.3
20200277,Augusto Lima,San Pablo Burgos,acb,ACB,362,2026-03-12,6.0,2.38,0.1,0.13,9.6,8.65,0.87,1.0,,,,,,,,,,,,,,9.3
P003840,P003840,,eurocup,EuroCup,U2024,2026-03-12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5313012,Mario Saint-Supéry,,ncaa_espn,NCAA,2025-26,2026-03-12,33.0,8.6,1.3,3.2,40.6,1.4,3.2,43.4,1.8,2.1,87.1,,,2.8,3.6,1.4,1.5,0.1,1.8,,,22.4
