player_id,player_name,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,blk_against,fouls,fouls_received,plus_minus,val,team
P003842,Mathias Lessort,euroleague,EuroLeague,E2025,2026-03-24,Dubai Basketball,V 107-104,2026-03-27,19.72,10.0,4.0,6.0,66.7,0.0,0.0,,2.0,4.0,50.0,5.0,2.0,7.0,1.0,0.0,1.0,0.0,0.0,3.0,7.0,6.0,17.0,Panathinaikos
P000848,Nemanja Nedović,euroleague,EuroLeague,E2025,2026-03-24,EA7 Emporio Armani Milan,V 90-85,2026-03-27,13.43,5.0,1.0,2.0,50.0,1.0,3.0,33.3,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,-18.0,0.0,AS Monaco
130801,Nemanja Nedović,eurobasket,LNB Pro A,2025-26,2026-03-21,Gravelines,V 89-77,2026-03-27,19.0,4.0,2.0,2.0,100.0,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,0.0,,3.0,,,1.0,AS Monaco
P010581,Dylan Osetkowski,euroleague,EuroLeague,E2025,2026-03-24,LDLC ASVEL Villeurbanne,V 79-78,2026-03-27,25.35,16.0,1.0,2.0,50.0,4.0,5.0,80.0,2.0,2.0,100.0,0.0,5.0,5.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,9.0,22.0,Partizan Mozzart Bet
5100,Dylan Osetkowski,aba,ABA League,2025-26,2026-03-22,Crvena Zvezda Meridianbet,D 96-100,2026-03-27,22.72,6.0,1.0,5.0,20.0,1.0,5.0,20.0,1.0,2.0,50.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,,2.0,,-2.0,0.0,Partizan Mozzart Bet
P009992,Darío Brizuela,euroleague,EuroLeague,E2025,2026-03-24,Anadolu Efes Istanbul,V 78-71,2026-03-27,12.73,9.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,-4.0,11.0,FC Barcelona
20209919,Darío Brizuela,acb,ACB,2025-26,2026-03-22,Real Madrid,D 76-95,2026-03-27,16.7,7.0,2.0,5.0,40.0,0.0,3.0,0.0,3.0,4.0,75.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,6.0,-5.0,8.0,FC Barcelona
P011305,Tyson Carter,euroleague,EuroLeague,E2025,2026-03-25,Kosner Baskonia Vitoria-Gasteiz,V 108-100,2026-03-27,9.07,4.0,0.0,0.0,,1.0,3.0,33.3,1.0,1.0,100.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,Crvena zvezda
402220,Tyson Carter,eurobasket,ABA League,2025-26,2026-03-22,Partizan,V 100-96,2026-03-27,7.0,3.0,0.0,0.0,,1.0,2.0,50.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,3.0,,,-1.0,Crvena zvezda
20213230,Yankuba Sima,acb,ACB,2025-26,2026-03-22,Coviran Granada,V 107-91,2026-03-27,9.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,3.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,Valencia Basket
