player_id,player_name,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val,team,blk_against,fouls_received
3155942,Domas Sabonis,nba,NBA,2025-26,2026-02-05,vs. MEM,D 125-129,2026-06-03,24.0,24.0,10.0,18.0,55.6,0.0,0.0,,4.0,4.0,100.0,7.0,8.0,15.0,3.0,1.0,1.0,0.0,3.0,-12.0,,Sacramento Kings,,
P003842,Mathias Lessort,euroleague,EuroLeague,E2025,2026-05-13,Valencia Basket,D 64-81,2026-06-03,23.77,8.0,4.0,8.0,50.0,0.0,0.0,,0.0,0.0,,3.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,-20.0,5.0,Panathinaikos,2.0,3.0
252481,Mathias Lessort,eurobasket,Greek League,2025-26,2026-05-30,PAOK,V 102-94,2026-06-03,29.0,15.0,5.0,7.0,71.4,0.0,0.0,,5.0,5.0,100.0,1.0,6.0,7.0,4.0,0.0,0.0,2.0,5.0,,27.0,Panathinaikos,,
P000848,Nemanja Nedović,euroleague,EuroLeague,E2025,2026-05-05,Olympiacos Piraeus,D 82-105,2026-06-03,14.27,2.0,1.0,1.0,100.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,-20.0,-6.0,AS Monaco,0.0,0.0
130801,Nemanja Nedović,eurobasket,LNB Pro A,2025-26,2026-06-01,Nanterre,V 103-88,2026-06-03,22.0,9.0,1.0,1.0,100.0,1.0,4.0,25.0,4.0,5.0,80.0,0.0,4.0,4.0,7.0,1.0,2.0,0.0,4.0,,11.0,AS Monaco,,
5100,Dylan Osetkowski,aba,ABA League,2025-26,2026-05-21,Crvena Zvezda Meridianbet,V 89-78,2026-06-03,25.82,17.0,2.0,3.0,66.7,3.0,4.0,75.0,4.0,4.0,100.0,0.0,4.0,4.0,2.0,3.0,0.0,0.0,3.0,3.0,25.0,Partizan Mozzart Bet,,
P009992,Darío Brizuela,euroleague,EuroLeague,E2025,2026-04-24,AS Monaco,D 70-79,2026-06-03,17.92,10.0,2.0,3.0,66.7,2.0,6.0,33.3,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,-1.0,3.0,FC Barcelona,1.0,1.0
20209919,Darío Brizuela,acb,ACB,2025-26,2026-06-02,UCAM Murcia,V 23-34,2026-06-03,21.05,18.0,3.0,4.0,75.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,2.0,0.0,1.0,22.0,17.0,FC Barcelona,0.0,1.0
402220,Tyson Carter,eurobasket,ABA League,2025-26,2026-05-21,Partizan,D 78-89,2026-06-03,16.0,2.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,-1.0,Crvena zvezda,,
20213230,Yankuba Sima,acb,ACB,2025-26,2026-05-29,Dreamland GC,V 31-23,2026-06-03,13.28,9.0,3.0,3.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,Valencia Basket,0.0,1.0
P011217,Kameron Taylor,euroleague,EuroLeague,E2025,2026-05-22,Real Madrid,D 90-105,2026-06-03,30.63,11.0,4.0,5.0,80.0,1.0,4.0,25.0,0.0,0.0,,3.0,3.0,6.0,4.0,0.0,5.0,0.0,4.0,-6.0,12.0,Valencia Basket,0.0,4.0
30001981,Kameron Taylor,acb,ACB,2025-26,2026-05-29,Dreamland GC,V 31-23,2026-06-03,14.52,10.0,2.0,3.0,67.0,2.0,3.0,67.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,24.0,12.0,Valencia Basket,0.0,1.0
20210659,Giorgi Shermadini,acb,ACB,2025-26,2026-05-17,Barça,D 17-24,2026-06-03,16.0,2.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Lenovo Tenerife,0.0,1.0
la-laguna-tenerife/151899-giorgi-shermadini,Giorgi Shermadini,bcl,BCL,2025-26,2026-05-09,Unicaja,D 80-85,2026-06-03,22.0,14.0,6.0,7.0,85.7,0.0,0.0,0.0,2.0,3.0,66.7,1.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,-13.0,16.0,Lenovo Tenerife,,
20210707,Rubén Guerrero,acb,ACB,2025-26,2026-05-29,Barça,V 31-24,2026-06-03,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,MoraBanc Andorra,0.0,0.0
FUENLABRADA/LIMA,Augusto Lima,feb,LEB Oro,2025-26,2026-05-29,Súper Agropal Palencia,D 51-76,2026-06-03,12.67,2.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,-6.0,-1.0,Fuenlabrada,0.0,1.0
P003840,Axel Bouteille,eurocup,EuroCup,U2025,2026-03-11,U-BT Cluj-Napoca,D 82-100,2026-06-03,13.55,8.0,1.0,2.0,50.0,1.0,4.0,25.0,3.0,3.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,-8.0,6.0,Budućnost VOLI,0.0,1.0
5073,Axel Bouteille,aba,ABA League,2025-26,2026-05-28,Dubai Basketball,D 77-103,2026-06-03,17.03,6.0,0.0,0.0,0.0,2.0,7.0,28.6,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,3.0,-25.0,-3.0,Budućnost VOLI,,
26892,Mindaugas Kuzminskas,eurobasket,Greek League,2025-26,2026-05-30,Olympiacos,D 68-95,2026-06-03,10.0,4.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.0,AEK BC,,
1076,Dragan Milosavljević,aba,ABA League,2025-26,2026-05-03,Spartak Office Shoes,D 68-80,2026-06-03,11.12,4.0,1.0,2.0,50.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,-6.0,2.0,Igokea m:tel,,
201473,Kyle Wiltjer,eurobasket,Lega A,2025-26,2026-06-01,Virtus BO,D 79-98,2026-06-03,21.0,14.0,4.0,6.0,66.7,2.0,5.0,40.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,10.0,Umana Reyer Venezia,,
P008052,Kyle Wiltjer,eurocup,EuroCup,U2025,2026-03-11,Dolomiti Energia Trento,D 90-94,2026-06-03,25.03,16.0,7.0,12.0,58.3,0.0,4.0,0.0,2.0,2.0,100.0,3.0,4.0,7.0,0.0,0.0,1.0,0.0,3.0,-6.0,12.0,Umana Reyer Venezia,0.0,2.0
20204124,Jaime Fernández,acb,ACB,2025-26,2026-06-02,Real Madrid,D 27-21,2026-06-03,13.63,17.0,0.0,0.0,0.0,4.0,5.0,80.0,5.0,6.0,83.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,3.0,18.0,Lenovo Tenerife,0.0,3.0
la-laguna-tenerife/175433-jaime-fernandez,Jaime Fernández,bcl,BCL,2025-26,2026-05-09,Unicaja,D 80-85,2026-06-03,22.0,13.0,1.0,5.0,20.0,2.0,6.0,33.3,5.0,6.0,83.3,0.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,1.0,8.0,Lenovo Tenerife,,
